X,Y,GEOCODIGO,MUNICIPIO,UF,CD_UF,HIDRO,icon_url
-46.2873629470471,-24.0399444368366,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2905858977822,-23.9382473774091,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2873847370852,-24.0148697248668,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2872145870548,-24.0149851668508,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2875669644458,-24.0025274683536,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2856051266483,-24.0412623557507,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.289083476492,-23.9358162002795,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2844975429038,-24.0401345769692,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2876545297992,-23.9280843401934,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2840824582578,-24.0194927522956,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2860980129888,-23.9485811991309,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2828701727534,-24.0344844862596,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2823155885433,-24.0381059439227,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2822152857325,-24.0334247332138,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.282285780409,-24.0206391432387,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2851129955356,-23.9253530260944,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2846451467648,-23.9381011707809,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2833705426146,-23.9349781351532,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2796313626559,-24.0365972752981,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2827024422848,-23.9433515749988,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2802453947323,-24.0095844230546,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2808954844107,-23.9664816207093,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2795391710187,-23.9733824458898,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2784294896622,-24.0008230198995,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2777616887378,-23.9778251328218,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2786590736506,-23.9311932113729,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
